"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[6]-theta[30]",-0.00213042203432771,-0.00212325292883014,-0.00190908608448826,19965.3,0.95,-0.00988621195450057,0.0059000541176536,0,30.14,NA,NA,NA,NA,NA
"theta[6]-theta[31]",0.000872895517518116,0.000791132704653252,0.000497325952119057,20898.7,0.95,-0.00859966652493149,0.0109611176533879,0,56.275,NA,NA,NA,NA,NA
"theta[7]-theta[8]",0.00816883918942803,0.00816364313823986,0.0080048422449259,20000,0.95,0.00102180249512318,0.0151628644746581,0,98.93,NA,NA,NA,NA,NA
"theta[7]-theta[9]",0.0181300444908995,0.0181093265285088,0.0185434476600732,20000,0.95,0.0104743892921576,0.0255819569231307,0,99.995,NA,NA,NA,NA,NA
"theta[7]-theta[10]",0.0121994821109559,0.0121737121184465,0.0124139389126702,20000,0.95,0.0046310193129796,0.0198896752016217,0,99.88,NA,NA,NA,NA,NA
"theta[7]-theta[11]",0.0144019061064637,0.0143838370429907,0.014328061863092,20000,0.95,0.0064272394723176,0.0220597632287615,0,99.995,NA,NA,NA,NA,NA
"theta[7]-theta[12]",0.0124497042216924,0.012454290237396,0.0127006076377176,20000,0.95,0.00499931998899861,0.0201123471237885,0,99.935,NA,NA,NA,NA,NA
"theta[7]-theta[13]",0.0200281738974006,0.0200112546307623,0.0198738554344417,20000,0.95,0.0119592949518863,0.0280573479753043,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[14]",0.0233260587128531,0.023280134834707,0.0230478152213863,20000,0.95,0.0153227124063784,0.0315264403571118,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[15]",0.0251797239221866,0.0251764693293354,0.0254133207044993,20000,0.95,0.0175325316603999,0.0330435407252754,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[16]",0.011687586490602,0.0116689388400264,0.0122025677191308,20000,0.95,0.00409121010390956,0.0193279566155578,0,99.875,NA,NA,NA,NA,NA
"theta[7]-theta[17]",0.0140475072381787,0.0140006573431088,0.0136695200010771,20000,0.95,0.00643893374766047,0.0217312148914813,0,99.985,NA,NA,NA,NA,NA
"theta[7]-theta[18]",0.00438873956970074,0.00438292053765388,0.00447670407459273,19973.6,0.95,-0.0024651866462676,0.0114862487980056,0,89.305,NA,NA,NA,NA,NA
"theta[7]-theta[19]",0.0148701221019243,0.0148523633967212,0.0147827184242489,19380.1,0.95,0.0076174397379547,0.0220672306510094,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[20]",0.0315307804580143,0.0315309887194942,0.0315989263710148,20000,0.95,0.0237302272420439,0.0396878918676029,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[21]",0.0271473917866239,0.0271520878238612,0.0273718081934919,19654.6,0.95,0.0189741035437002,0.0355333882097362,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[22]",0.0046317681370457,0.00461978464369095,0.004478069571134,20000,0.95,-0.00217536793116291,0.0118652973486311,0,90.35,NA,NA,NA,NA,NA
"theta[7]-theta[23]",0.013515083500485,0.0135346386085202,0.0137149184174024,20000,0.95,0.00620158022810469,0.0212287364639628,0,99.955,NA,NA,NA,NA,NA
"theta[7]-theta[24]",0.00846682030181014,0.00843612076212641,0.00832632344172451,20000,0.95,0.000856550179236026,0.0160624957138504,0,98.54,NA,NA,NA,NA,NA
"theta[7]-theta[25]",0.0252240849005073,0.0252186977824694,0.0249280568268103,20194.3,0.95,0.0163408565337601,0.0337085210383437,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[26]",0.019822774181348,0.019806996516544,0.019922722210813,19320.6,0.95,0.0114742120087621,0.0275028197468785,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[27]",0.0127952757772288,0.0127998372642423,0.0132321810278678,20000,0.95,0.0052936030320766,0.0205095579061143,0,99.925,NA,NA,NA,NA,NA
"theta[7]-theta[28]",0.0238374906974189,0.0238274931177631,0.0236874471859363,20000,0.95,0.0155983676350276,0.0319124231925423,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[29]",0.0310326208939541,0.0310009691879101,0.0297965213172051,20000,0.95,0.0222968931472742,0.0392525579799105,0,100,NA,NA,NA,NA,NA
"theta[7]-theta[30]",0.00557667399472365,0.00552977664886978,0.00504112050574072,20000,0.95,-0.00179127240363341,0.0130706928427535,0,93.2,NA,NA,NA,NA,NA
"theta[7]-theta[31]",0.00857999154656948,0.00845990905000293,0.00810618843197756,20929.3,0.95,-0.000600096326745958,0.0182145617843188,0,96.745,NA,NA,NA,NA,NA
"theta[8]-theta[9]",0.00996120530147145,0.00993605610787629,0.0102984746224917,19926.5,0.95,0.0021008996476195,0.0178881930773896,0,99.42,NA,NA,NA,NA,NA
"theta[8]-theta[10]",0.00403064292152785,0.00402767230549117,0.00383855085240222,20000,0.95,-0.00361755568312438,0.0123198703026951,0,84.005,NA,NA,NA,NA,NA
"theta[8]-theta[11]",0.00623306691703564,0.00622470546757359,0.00664978698685151,20000,0.95,-0.00181317326460284,0.0143650297001677,0,93.49,NA,NA,NA,NA,NA
"theta[8]-theta[12]",0.00428086503226438,0.00430530533911511,0.00452137625789148,20000,0.95,-0.0036889893953439,0.0119806799282218,0,85.555,NA,NA,NA,NA,NA
"theta[8]-theta[13]",0.0118593347079725,0.0118637470358731,0.0121721439327469,19195.2,0.95,0.00355701288853361,0.0201032958479288,0,99.785,NA,NA,NA,NA,NA
"theta[8]-theta[14]",0.0151572195234251,0.0150957929565252,0.0149541550043885,20000,0.95,0.00677400733303402,0.0235175689708391,0,99.98,NA,NA,NA,NA,NA
"theta[8]-theta[15]",0.0170108847327586,0.0170035232616516,0.0163476049166291,20000,0.95,0.00901085249093925,0.0251752375136441,0,99.99,NA,NA,NA,NA,NA
"theta[8]-theta[16]",0.00351874730117398,0.00351339299930947,0.0040718637449555,20000,0.95,-0.00457862233266348,0.0112494781087338,0,80.965,NA,NA,NA,NA,NA
"theta[8]-theta[17]",0.00587866804875066,0.00588232315422965,0.00626572292773855,19365,0.95,-0.00238482564117337,0.0134112909632425,0,92.49,NA,NA,NA,NA,NA
"theta[8]-theta[18]",-0.00378009961972729,-0.00374936004050375,-0.00346542186754124,20000,0.95,-0.0111570784131718,0.00331435881305342,0,15.325,NA,NA,NA,NA,NA
"theta[8]-theta[19]",0.00670128291249628,0.00671368255730309,0.0067294232844906,19552.8,0.95,-0.000777587456866069,0.0143264589214389,0,95.795,NA,NA,NA,NA,NA
"theta[8]-theta[20]",0.0233619412685862,0.0233329090890613,0.0232637566698798,20000,0.95,0.0152369923682246,0.0317377138653665,0,100,NA,NA,NA,NA,NA
"theta[8]-theta[21]",0.0189785525971959,0.0189585914597475,0.0188533315147517,19777.2,0.95,0.0103143286831432,0.0272856899855101,0,100,NA,NA,NA,NA,NA
"theta[8]-theta[22]",-0.00353707105238233,-0.0035426362891165,-0.00375336561294312,20538.4,0.95,-0.0107868093244363,0.00381596157597663,0,17.29,NA,NA,NA,NA,NA
"theta[8]-theta[23]",0.00534624431105693,0.00532870854413819,0.00530414850224066,20000,0.95,-0.00266125523845739,0.0130309476143511,0,91.105,NA,NA,NA,NA,NA
"theta[8]-theta[24]",0.000297981112382112,0.000246886893854326,0.000162083986956094,20000,0.95,-0.00763228546343031,0.00797667143578495,0,52.745,NA,NA,NA,NA,NA
